price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yr_built,renovated
420000,2,1.5,1040,3500,1.5,4,1904,0
749950,4,2.75,2600,6050,2,5,1949,0
568000,3,2,2350,5080,1.5,3,1929,0
5.00E+05,2,1,1010,3885,1.5,4,1906,1
475000,2,1,820,2723,1,3,1921,1
352000,5,2.5,2420,8560,1,3,1978,0
599000,3,1.75,1960,4788,1,4,1920,0
575000,4,2,1650,5000,1,3,1955,1
705000,4,2.5,2650,4316,1.5,3,1905,1
940000,4,2.25,1890,5940,1,3,1963,1
485000,3,2,1610,4160,1,4,1917,0
3.00E+05,2,1,760,3001,1,3,1913,1
1500000,6,2.5,3560,6480,2.5,4,1914,1
1340000,3,3,2960,5500,2,3,1937,1
361280,2,1,820,6400,1,4,1944,0
440000,3,1.75,1500,6180,1,4,1947,1
530000,3,1,1340,4284,1,3,1910,1
775000,3,2,2540,7200,1.5,4,1905,0
380000,5,1.75,3000,6000,1,5,1958,0
690000,3,2,1760,6428,1,4,1942,1
794154,4,2,2210,8556,1,4,1954,1
245000,3,1.5,1260,1270,2,3,2005,0
425000,2,2.5,1150,1027,3,3,2008,0
365000,5,2.75,2410,5003,1,3,2008,0
417250,3,2.25,1606,1452,3,3,2009,0
339950,2,1,820,681,3,3,2006,0
615000,2,1,1540,6872,1,4,1946,1
533000,3,1,1670,4080,1,3,1967,1
712000,3,1,1250,4620,1.5,4,1900,1
205000,2,1,720,5040,1,3,1955,1
553650,2,2.5,1360,1349,2,3,1997,0
719000,3,2.5,1690,4500,1.5,4,1928,0
1039000,4,1,3410,5000,2,5,1910,0
515000,2,1,1060,4960,1,3,1926,1
207000,3,1,1490,8995,1,4,1954,1
385000,3,1.75,1890,9920,1,3,1944,0
235000,2,1,1270,3008,1,4,1923,0
358000,2,1.5,960,1808,2,3,1993,0
228000,4,1.75,2000,6120,1,3,1965,1
405000,2,1,1020,8155,1,4,1948,0
1750000,6,3,3510,5760,2.5,4,1906,1
636000,2,1.75,1230,3600,1.5,5,1925,0
530000,4,2.75,2280,2850,1.5,4,1930,0
230000,3,1.75,950,6000,1,3,1939,1
1307000,5,3.25,2800,3200,1.5,5,1932,1
660000,3,1.75,1320,5750,1.5,5,1918,0
413450,3,2.5,1540,1614,3,3,2008,0
930000,3,3.25,2640,4080,2,3,1912,1
835000,4,2,1910,6960,1.5,5,1941,0
5.00E+05,3,1.75,1410,1197,3,3,2012,1
499000,2,1.5,1110,957,2,3,2005,0
321950,2,1.25,860,1277,2,3,2007,0
441750,2,1.5,1020,1060,3,3,2008,0
438000,2,1,980,1179,2,3,2010,0
460000,4,1.75,1750,5500,1.5,5,1926,0
255000,2,1,810,7980,1,1,1928,0
445000,4,2,1650,6000,1,5,1959,0
195000,2,1,720,18000,1,3,1950,1
490000,2,1,1840,3300,1.5,4,1910,0
270000,3,1.5,1500,6337,1,5,1953,0
382000,3,3.25,1410,1253,3,3,2005,0
536500,4,1.75,2000,4000,1.5,5,1926,0
463000,2,1,1150,4400,1,4,1905,0
742500,4,2.75,3100,3773,2,3,1919,1
325000,3,2.25,1352,1694,3,3,2007,0
481450,3,2,1410,4800,1,3,1940,1
252500,3,1,1030,6127,1,3,1947,1
536000,3,1.75,1300,5413,1.5,3,1925,1
445000,2,2,1150,6634,1,3,1940,1
769900,4,3.5,2730,3047,2,3,2006,0
212000,2,1.5,1020,1525,2,3,2004,1
376000,3,2,1340,1384,3,3,2008,0
324000,3,2.25,998,904,2,3,2007,0
549900,5,2.75,3060,7015,1,5,1979,0
875000,4,2,2520,6000,1,3,1921,1
394950,3,2.5,1350,1250,3,3,2006,0
842500,4,2.5,2160,5298,2.5,4,1902,0
368000,3,2.5,1370,1350,2,3,2007,0
885000,4,2.5,2830,5000,2,3,1995,0
490000,2,2.5,1230,1391,2,3,2004,1
235000,1,1,810,2451,1,5,1941,0
255000,2,1,1220,2500,1,3,1910,1
350000,2,1,910,4500,1.5,4,1906,1
582000,4,1.75,2120,4650,1,3,1951,1
1315000,4,3.5,3460,3997,2,3,2004,1
372500,5,3,2480,10090,1,3,2004,1
360000,4,2,1730,5500,1,5,1943,0
1015000,3,2.5,2920,34527,1,4,1954,1
210000,3,2.5,1040,2643,2,3,2004,1
770000,3,1.75,1720,5000,1,3,1954,1
499950,3,1,980,6380,1,3,1941,1
5.00E+05,2,2.25,1290,1334,3,3,2007,0
870300,4,2.5,2350,3150,1.5,4,1910,0
315275,3,1.75,1440,8040,1,3,1951,1
505000,4,1.75,1940,4800,1,5,1922,1
610000,4,3,2110,5000,1.5,4,1930,0
910000,3,2,2700,6120,1,4,1962,0
1300000,4,3.25,2330,9687,2,3,1918,0
840000,4,2.75,2600,2750,1.5,3,1936,0
3.00E+05,2,1.75,1360,8100,1,3,1975,0
675000,4,3,2400,3340,1,4,1964,0
734200,4,2.5,2760,5000,1.5,5,1928,1
630000,4,2,1770,6000,2,5,1911,1
301500,2,1.5,830,1333,2,3,2005,0
369000,2,2.5,980,895,2,3,2009,0
635000,3,2.5,1570,1433,3,3,2010,0
625000,3,3.5,1810,1846,2,4,2009,0
525000,5,3,2450,4591,2,3,1994,0
628000,4,2,2260,6000,1,3,1958,1
245000,5,1.75,2020,7902,1,3,1962,1
415000,3,1.75,1960,5000,1,5,1911,1
799200,6,3,2890,2370,2.5,3,1906,1
591000,3,1.75,1680,2400,1,5,1922,1
575000,3,1.75,1580,11750,1,4,1951,1
771000,3,2.25,1780,6120,1.5,4,1927,0
155000,2,1,910,6232,1,3,1943,1
550000,7,4,3440,8100,2,3,1970,1
2555000,4,2.5,5300,26211,2,2,1923,0
717000,3,1.5,1310,3880,1,3,1956,1
225000,3,1,1040,6535,1,3,1947,1
230000,2,0.75,650,5360,1,4,1931,0
385000,3,2,1480,6600,1,3,1943,1
665000,3,2,1940,5820,1.5,5,1944,0
620000,3,1,1710,4050,1.5,3,1909,1
1105000,4,1.5,2740,4000,2,5,1905,0
450000,3,2.75,1250,892,2,3,2010,0
560000,3,1,1440,5000,2,3,1910,1
413000,4,1,1410,6000,1,3,1925,1
570000,3,2,1530,5401,1,4,1937,0
465000,3,1.5,1270,5112,1,3,1950,1
525000,3,2.5,1580,1161,2,3,2008,0
870000,4,2.5,3520,6773,2.5,3,2006,0
650000,4,2.5,2210,4861,2,3,2013,1
330000,3,2.5,1450,5008,1,3,2007,0
385000,4,1.75,1620,4980,1,4,1947,1
306000,3,1.5,1220,1086,3,3,2007,0
546000,3,1.75,2000,5000,1,4,1921,0
8.00E+05,3,1,1700,4400,1.5,4,1906,1
620000,5,2.5,2540,3832,2,5,1929,0
372220,3,1,1290,5500,1,3,1951,1
337500,5,2,1700,7314,1,3,1956,1
582500,2,1.5,1159,4800,1,3,1948,1
405100,2,1,840,3522,1,3,1947,1
538000,3,1.75,1400,3825,1.5,4,1904,0
1400000,3,2.5,2550,7200,2,3,1981,1
702500,3,1.5,2360,6750,2,5,1926,0
682000,3,1.75,1830,5120,1.5,5,1903,0
525000,3,1.75,1600,6120,1.5,3,1924,1
394475,2,1,830,4000,1,3,1955,1
339950,3,1,1050,5402,1.5,4,1906,1
715000,4,2.25,2060,5649,1,5,1941,0
458000,3,1,1660,7500,1,4,1940,1
607500,5,1.75,2220,6000,1.5,3,1923,1
4.00E+05,2,1,980,2130,1,4,1918,1
3.00E+05,3,1,1260,8280,1,3,1946,0
185000,3,1,1150,8100,1,3,1932,0
451555,2,1,1320,4520,1,3,1912,1
840000,4,1.75,2930,11562,1,3,1947,1
349950,3,1,1400,7066,1,3,1957,1
613000,4,2,1550,4815,1.5,3,1909,1
197500,3,1,980,3090,1.5,3,1903,1
1255000,4,2.5,3200,7535,2,3,2006,0
575000,2,1,1490,6000,1,3,1946,0
585000,5,1.75,2000,3750,2,4,1921,0
475000,7,3.5,2870,29699,1,3,1961,1
790000,3,1.75,1790,6117,1,3,1940,1
744000,4,3,1980,5352,2.5,3,1941,1
312500,2,1,880,6345,1,3,1919,1
495000,4,2,2050,4000,1.5,5,1941,0
580050,3,2.5,2360,4638,2,3,1996,0
640000,4,2,2560,7798,1,4,1947,1
295000,3,1.5,850,2500,1,3,1986,0
343000,4,1.75,2290,10290,1,3,1960,1
467000,3,1,1660,6582,1,5,1946,0
512500,3,2.5,1840,2875,2,4,1997,0
465000,3,1.75,1410,6886,1,3,1924,1
340000,3,1.75,1960,8136,1,3,1948,1
497000,4,2.5,2240,7200,2,3,1995,0
344000,3,2.5,1232,1130,3,3,2007,0
312000,3,2.25,1490,974,2,3,2009,0
350000,1,1,700,5100,1,3,1942,1
408200,3,2.5,1800,5761,2,4,1990,0
451000,3,1.75,1560,4049,1.5,3,1926,1
799000,4,3.25,3120,5000,2,3,2005,0
720000,2,1,2020,7200,1,4,1947,1
490000,3,2,1450,2400,1.5,3,1900,1
342000,3,1,1260,6826,1,3,1944,0
724800,3,2,2050,3933,1,3,1926,1
605000,2,1,910,3600,1,4,1909,1
785000,3,2,2180,5440,1,5,1904,0
565000,3,2.25,1520,1221,3,3,2013,1
875000,3,2,2220,6641,1,4,1947,1
620000,3,2.25,1720,4000,1.5,4,1921,0
245000,2,1,870,6150,1,3,1941,1
238000,3,2,1020,1204,2,3,2004,1
523000,3,1.5,1260,3135,1.5,3,1931,0
180000,3,1,1000,18513,1,3,1940,1
375000,3,1.5,1100,1751,2,3,2007,0
540000,1,1,1140,6700,1.5,3,1920,1
605000,3,2.25,1290,2500,2,4,1987,0
490000,2,1,1160,5000,1,4,1937,0
341000,3,2.5,1480,1663,2,3,2012,1
5.00E+05,2,2.5,1310,1500,2,3,2006,0
410000,3,2,1700,4250,1,3,1944,0
488000,2,2,1360,4688,1,3,1944,0
592500,2,2,1420,9191,1.5,5,1928,1
475000,2,1,1490,3825,1,3,1929,0
487250,4,2,1690,3250,1.5,3,1901,0
440000,2,1.5,1010,1968,1.5,5,1906,0
462000,3,1.5,1710,4500,1.5,3,1928,1
560000,4,1,1660,4690,1.5,3,1945,1
285000,4,1.75,2080,13629,1,4,1955,1
210000,3,1,1080,21043,1,3,1942,1
690000,3,2,1610,5100,1.5,5,1940,0
411000,4,2.75,2500,5257,2,3,1966,1
762000,5,2,3370,5000,1.5,4,1907,0
413500,2,1,770,4000,1,5,1924,1
524950,3,1.75,1890,3825,1,3,1974,0
461000,2,1,1060,7193,1,3,1926,1
885000,4,2.75,2730,3560,1.5,3,1921,1
333000,4,2,1580,7800,2,2,1906,0
485000,3,1,1500,4100,1.5,3,1926,1
482500,3,2.25,1450,1445,2,3,2005,0
485000,2,2.25,1260,1240,3,3,2004,1
850000,4,3.5,2640,5900,2,3,1937,1
7.00E+05,3,1.75,2010,4905,1,5,1912,0
368000,2,1.5,1660,4680,1,5,1908,0
433500,3,2.5,2200,3360,2,3,2009,0
367000,2,1,700,2334,1,3,1945,1
477000,3,2.5,1350,2053,3,3,2005,0
518000,3,2.5,1680,2096,2,3,2008,0
1190000,4,3,2240,6000,1.5,4,1914,1
137000,3,1,950,7620,1,3,1954,1
640000,2,2.25,1540,958,3,3,2007,0
271310,2,1,870,5340,1.5,2,1906,0
479000,3,2.5,1260,889,3,3,2008,0
520000,4,3.5,2680,10000,2,3,1942,1
599950,3,2.5,2660,4975,2,3,2014,0
483945,2,1.75,1480,5120,1,4,1951,1
192500,2,1,950,7692,1,3,1926,1
330000,2,1,860,8308,1,4,1948,0
243000,2,1,1770,5522,1.5,4,1943,0
575000,4,1.75,1280,6060,1,3,1926,1
710000,2,1,1790,4000,1,4,1923,0
490000,3,1,1910,8190,1,4,1946,1
467000,3,2.25,1270,1213,2,3,2005,0
480000,4,2.75,2050,3960,1,4,1986,0
755000,6,2,2150,4505,1,3,1952,1
387000,2,2.25,1230,1280,2,3,2012,1
570000,2,1.75,1540,4025,1,4,1908,0
387500,4,1,1320,4440,1.5,3,1929,0
396675,2,1,1730,6375,2,4,1945,0
452000,4,1,1210,3760,1.5,3,1900,1
792000,3,1.5,1570,1050,2,3,1915,0
1275000,4,2,2850,7861,1,4,1970,0
440000,2,1.75,1300,4000,2,3,1948,1
525000,3,1.5,1540,4773,2,3,1941,1
978000,4,2.75,2620,13777,1.5,4,1926,1
1125000,6,3,2880,3192,2,4,1919,1
7.00E+05,4,1,1680,4021,1.5,3,1921,1
309000,3,1,1092,7500,1.5,3,1918,0
699000,4,2.5,2650,7945,2,3,2006,0
1100000,3,2,2390,6888,2,5,1939,0
430000,3,1.75,1200,4500,1,5,1906,0
376000,2,1,1150,4000,1,3,1947,1
475000,4,1.75,1650,7775,1,4,1950,1
1690000,3,1.75,3400,8965,1,5,1957,0
619500,3,2.5,1700,4105,2,3,1992,0
194000,1,1,820,1060,1,3,2007,0
329000,4,2.5,1600,6765,1,3,1947,1
494000,4,1.75,2090,4300,1.5,4,1925,1
423000,4,1.75,1940,6909,1,4,1941,1
879950,4,2.25,3500,13875,1,4,1938,0
345600,5,3.5,2800,5120,2.5,3,1903,1
395000,3,1.5,1080,2940,1.5,4,1920,0
380000,3,1.75,1690,1468,2,3,2008,0
440000,3,1.5,1270,1443,3,3,2007,0
415000,3,2.25,1970,2377,2,3,2008,0
5.00E+05,3,2.5,1210,1200,3,3,2008,0
953007,4,3.5,3120,5086,2,3,2008,0
772000,3,2.25,1640,1204,3,3,2014,0
490000,5,3.5,4460,2975,3,3,2013,1
305000,2,2.5,1590,2656,2,3,2009,0
325000,3,1,990,6750,1,4,1947,1
720000,3,2.5,2020,1159,3,3,2000,0
199000,4,2,2030,8120,2,3,1950,1
1506000,4,3.25,3660,5800,2.5,3,1909,1
635000,4,2.25,2750,6180,1,4,1948,0
210000,3,1,1240,4842,1,4,1916,0
475000,4,2,1790,2250,1,4,1909,1
230000,5,2,1930,6120,1.5,3,1941,1
249900,2,1,1140,5500,1,3,1947,1
270000,3,1.75,1390,10905,1,3,1957,1
495000,3,3.5,2380,6250,2,3,1997,0
1003000,4,2.75,2290,6120,2,4,1926,1
299800,2,1,790,5240,1,4,1925,1
360000,2,0.75,850,7710,1,5,1909,1
218000,3,1,1020,7874,1,3,1956,1
452000,4,2,1660,6150,1,3,1945,1
246000,3,1.5,1780,23819,1,3,1953,0
535000,2,1,1030,4841,1,3,1939,1
430000,3,1,1150,3000,1,5,1906,0
450000,2,1,1200,4000,1,3,1940,1
525000,3,1,1450,4000,1,4,1948,0
1220000,4,2.5,3240,3600,2,3,2008,0
540000,3,2,1470,1691,2,3,2007,0
285000,3,1.75,2380,6000,1.5,3,1935,1
3.00E+05,2,1,970,13700,1,3,1949,1
7.00E+05,4,3.25,2780,7875,2,3,2006,0
334990,4,2.5,2220,4228,2,3,2014,0
360000,3,2.5,1530,1131,3,3,2009,0
373500,2,1,800,3330,1,3,1918,0
494400,2,1.75,1560,1750,1,4,1904,0
926300,3,1.5,1660,4800,2,3,1907,1
6.00E+05,3,1.75,1650,5100,1,5,1908,0
219900,3,1,910,6000,1,2,1956,0
270000,2,1.5,840,867,2,3,2005,0
432000,3,2.25,1470,1578,2,3,2007,0
305000,4,1.75,2200,8100,1.5,5,1942,0
235750,2,1,740,11250,1,2,1938,0
657000,4,1.75,2740,8520,1,3,1954,1
150000,2,1,820,10270,1,3,1954,1
319950,2,1,1070,5824,1,5,1949,0
337000,3,1,1070,6109,1,5,1951,0
492000,4,2,1640,5000,2,3,1907,1
4.00E+05,3,1,1040,6250,1,3,1942,1
431500,3,3.5,1900,1612,2,3,2008,0
677000,3,2,2000,3207,1,4,1916,0
1180500,3,1.75,1610,7200,1,3,1973,1
168000,2,2.5,1160,2174,2,3,1998,1
805000,4,2.75,2410,6000,1,5,1950,0
940000,4,2.75,2080,4000,1.5,3,1912,1
380000,2,2.5,1230,987,2,3,2011,0
353250,2,1,1060,1600,2,3,1979,1
320000,3,2.25,998,844,2,3,2007,0
321000,3,2.25,1347,1292,3,3,2010,0
359000,3,1.5,1360,885,3,3,2008,0
3.00E+05,5,2.5,2760,6000,2,3,2006,0
380000,5,3.5,2420,4670,2,3,2013,1
355000,3,2.25,1280,959,3,3,2005,0
353000,1,1,550,1279,2,3,2008,0
430000,2,2.5,1520,1588,2,3,2007,0
460000,3,1,1670,4005,1.5,4,1939,1
325000,3,1,1920,6862,1,3,1952,1
980000,4,3,3680,5854,1,3,1967,1
662990,3,1.75,1240,3600,1.5,5,1926,0
478000,3,1,1280,2580,1.5,3,1910,1
515000,2,1,1680,6500,1,4,1941,1
149000,3,1,1700,8645,1,3,1955,1
526000,3,1.75,1680,3420,1,3,1992,0
648475,4,2.75,2250,5700,1,3,1951,1
383000,3,1,1800,5612,1,4,1942,1
449950,3,2,1560,4080,2,3,1923,1
599000,3,2.75,1960,2500,1.5,5,1926,0
595000,2,1.5,1030,4500,1,3,1924,1
1325000,4,3,3370,7920,1,3,1988,1
661254,4,4,2290,6250,1.5,5,1940,0
641000,3,1.75,1620,3975,1,5,1926,0
464600,3,1.75,1120,5500,1.5,4,1925,1
3.00E+05,2,1,1340,7788,1,3,1947,1
670500,4,2,1590,6750,1,3,1951,1
552000,3,1,1430,5000,1,4,1919,1
244000,4,1,1450,8960,1,3,1943,1
530000,4,1.75,1814,5000,1,4,1951,1
90000,2,1,580,7500,1,3,1943,1
585000,3,2,1670,4572,1.5,3,1931,0
379000,2,1,800,6380,1,3,1940,1
462000,3,1.75,1300,2580,1,5,1919,1
606000,3,1,1500,3920,1,3,1947,1
334000,4,2.5,2210,6080,1,4,1965,0
360000,3,2,1270,1323,3,3,2006,0
235000,2,1,1140,1730,1.5,3,2007,0
580000,3,2.5,1620,1173,3,3,2008,0
355000,3,2,1220,1186,3,3,2007,0
375000,2,2.5,750,1430,2,3,2006,0
479000,3,1,1370,3000,1.5,3,1924,1
501000,2,1,1010,4320,1,5,1924,1
276000,3,1,1140,5000,1,3,1960,1
468000,2,1,1160,6000,1,4,1942,1
477000,4,2.75,1720,6270,2,3,1978,0
529000,3,1,1210,3328,1.5,4,1924,0
312000,3,1.5,1255,1374,3,3,2004,1
326100,2,1,880,7683,1,3,1942,1
360000,3,1,1050,9206,1.5,3,1954,1
1050000,4,2.5,2920,7200,1,3,1921,1
688000,4,3,3000,4000,1.5,3,1913,1
160000,2,1,1180,9350,1,3,1918,0
1570000,4,3.75,3070,5850,2,5,1927,0
4.00E+05,2,1,1470,6120,1,2,1940,0
730001,3,2,1840,4750,1,5,1951,0
751750,2,2,1880,5400,1.5,3,1902,0
457500,3,1.75,1840,4030,1,5,1925,0
732000,3,2.5,2330,1987,2,3,2004,1
1655000,4,3.5,3080,4815,2,3,1937,1
535000,2,1,1040,5527,1,3,1951,1
540000,4,4.25,1960,3565,2,3,1940,1
525000,5,3,2750,3800,1.5,5,1926,0
1100000,3,2.75,2640,4050,1.5,5,1926,0
499950,3,3.5,1820,1501,2,3,2014,0
329000,3,1,1600,5952,1,4,1964,0
435000,3,1,1270,4000,1.5,3,1928,1
780000,3,3,2520,2152,1.5,3,1925,1
345000,2,1.5,1180,844,2,3,2005,0
967500,3,3.75,3250,5797,2,4,1951,1
375000,3,1.5,2000,7294,1,3,1965,1
1600000,3,3.25,3790,19000,2,3,1985,0
994000,3,2.25,2510,6339,1.5,5,1932,1
675000,3,2.5,2540,7680,2,4,1940,1
280000,3,1,1200,6250,1,3,1943,1
535000,4,2.5,2340,5600,2,3,1921,1
427000,2,1,920,3780,1,3,1910,1
405000,2,1,910,6490,1,3,1942,1
480000,3,1,1150,4945,1,3,1943,1
725000,3,1.5,2500,4774,1.5,3,1940,1
488000,3,2.5,1590,2550,3,3,1985,0
460000,3,3.5,1600,1431,2,3,2006,0
399950,3,3,1296,1051,3,3,2009,0
370000,2,2.25,1280,835,2,3,2009,0
495000,3,2.5,1750,1548,3,3,2013,1
599000,4,2.75,2020,2750,1,3,1917,1
815000,4,2.25,2000,3800,2,3,2001,0
740000,2,1.75,2080,4800,1,5,1923,0
925000,3,2.5,2690,7000,2,5,1943,0
1285000,4,2.5,3240,10800,1,3,1946,0
335000,4,2,1480,3132,1,5,1910,0
840000,4,2.75,3040,2800,2,3,1906,1
450000,3,1,1100,4600,1,3,1917,1
681000,3,1,1700,6356,1.5,3,1907,1
370000,3,1,800,2296,1,4,1908,0
150000,3,1,820,7680,1.5,3,1910,1
432500,3,1.75,1980,5100,1,3,1965,1
1175000,3,2.5,1970,23180,1,3,1937,1
820000,3,2.5,2510,5503,2,3,1995,0
1400000,4,3.25,2980,7000,2,3,1900,1
438750,3,1.75,1610,6480,1,4,1947,1
1210000,4,2.75,3650,6982,2,4,1951,1
589000,3,1,1110,6000,1.5,5,1932,1
590000,3,2,1650,6150,2,4,1926,1
210000,2,1.5,880,1157,2,3,2007,0
840500,3,2,2520,5400,1.5,4,1906,1
565000,7,4.5,4140,9066,1,3,1978,0
380000,3,2,1660,8281,1,3,1949,1
355000,2,1,1270,3200,1,4,1920,0
277000,4,1,1450,6250,1,3,1964,1
270000,3,1.75,1300,4127,1,4,1918,1
7.00E+05,2,1.75,2320,5500,1.5,3,1925,1
635000,3,2.5,2300,5500,1.5,4,1921,0
510250,3,1.75,1400,4000,1,3,1951,1
960000,4,2.25,2410,4560,2,5,1929,0
580000,5,2,1940,6000,1,5,1945,0
1970000,8,3.5,4440,6480,2,5,1959,0
285000,2,1,800,6240,1,3,1954,1
840000,4,1.75,2330,4000,2,5,1924,1
474800,2,3.25,1400,1243,3,3,2000,0
430000,3,3.75,3890,7140,1,3,1943,1
345000,2,1,1080,4000,1,3,1940,1
875000,3,2.75,2280,4280,1,5,1917,0
1400000,4,3.25,4700,9160,1,3,2005,0
325000,2,2.5,1050,1609,2,3,2005,0
485000,4,1,1600,4300,1.5,4,1916,0
535000,3,2.5,1360,1016,3,3,2003,0
389000,2,1,910,7000,1,3,1952,1
4.00E+05,4,1.5,1390,7200,1,3,1965,1
820000,4,2.25,2280,6660,1.5,3,1940,1
436500,2,1,1260,5000,1,3,1951,1
2453500,4,3.5,4730,13586,1.5,5,1935,0
680000,3,2.25,2330,4000,1.5,5,1927,0
750500,5,3,2170,2440,1.5,4,1911,1
550000,5,2,2450,9488,1,4,1900,1
619000,4,2,2300,3400,1.5,5,1915,0
3.00E+05,2,1,820,3844,1,4,1916,0
4.00E+05,4,2.75,1240,3867,1,3,1987,1
450000,4,2,2240,7725,1,5,1956,0
595000,3,2,1480,5000,1,4,1928,0
155000,3,1,1250,6250,1,2,1949,0
529000,3,1,1590,6420,1,3,1944,0
635200,4,1.75,1640,4240,1,5,1921,0
540000,3,1.5,2600,5085,1,4,1940,1
402000,2,1,710,1173,2,4,1943,0
329932,3,1.5,1460,5040,1,3,1971,0
445000,4,1.75,1990,4725,1.5,4,1944,0
395000,2,1,1320,1824,1.5,4,1909,1
510000,3,1.5,2240,3800,2,3,1929,0
1425000,4,4.25,4960,6000,2.5,3,1909,1
685000,3,1.75,1940,7313,1,4,1960,1
350000,4,2.5,2040,22653,2,3,2011,0
305000,2,2.25,1000,905,3,3,2006,0
645000,3,3.25,1730,1229,2,3,2008,0
385000,3,1,1220,4800,1,3,1901,0
425000,3,1.75,1680,3000,1,4,1900,1
369000,3,2,1550,8509,1,3,1959,1
650000,2,2.5,1740,2500,2,3,1994,0
299950,3,1,1210,9525,1,3,1955,1
715000,4,1.75,3420,7200,1,5,1947,0
659000,4,2.5,3190,11375,1,5,1946,0
490000,3,1.75,1920,5405,1,4,1947,1
750000,3,1.75,1700,8400,1,3,1947,1
7.00E+05,4,2.5,2310,3570,1.5,3,1927,1
1365000,3,2.5,2090,6000,1.5,4,1928,0
330000,2,2.5,1240,1546,2,3,2007,0
560000,3,1.5,2000,7350,1,3,1953,0
